Background characteristics,Value,Category,Proportion,Gender
Age,15-19,Heard of ARVs that treat HIV,81.5,Women
Age,15-19,Know risk of MTCT reduced by mother's special drugs,60.3,Women
Age,15-19,Heard of PrEP,31.4,Women
Age,15-19,Approve of people taking PrEP,64.6,Women
Age,20-24,Heard of ARVs that treat HIV,93.2,Women
Age,20-24,Know risk of MTCT reduced by mother's special drugs,73,Women
Age,20-24,Heard of PrEP,52,Women
Age,20-24,Approve of people taking PrEP,70.5,Women
Age,25-29,Heard of ARVs that treat HIV,94.6,Women
Age,25-29,Know risk of MTCT reduced by mother's special drugs,80.7,Women
Age,25-29,Heard of PrEP,57.1,Women
Age,25-29,Approve of people taking PrEP,68.5,Women
Age,30-39,Heard of ARVs that treat HIV,95,Women
Age,30-39,Know risk of MTCT reduced by mother's special drugs,82.6,Women
Age,30-39,Heard of PrEP,53.1,Women
Age,30-39,Approve of people taking PrEP,73,Women
Age,40-49,Heard of ARVs that treat HIV,95.5,Women
Age,40-49,Know risk of MTCT reduced by mother's special drugs,80,Women
Age,40-49,Heard of PrEP,45.6,Women
Age,40-49,Approve of people taking PrEP,74.5,Women
Age,15-19,Heard of ARVs that treat HIV,79.8,Men
Age,15-19,Know risk of MTCT reduced by mother's special drugs,53.7,Men
Age,15-19,Heard of PrEP,26.5,Men
Age,15-19,Approve of people taking PrEP,56.6,Men
Age,20-24,Heard of ARVs that treat HIV,94.7,Men
Age,20-24,Know risk of MTCT reduced by mother's special drugs,67.6,Men
Age,20-24,Heard of PrEP,49.6,Men
Age,20-24,Approve of people taking PrEP,62.3,Men
Age,25-29,Heard of ARVs that treat HIV,97.7,Men
Age,25-29,Know risk of MTCT reduced by mother's special drugs,77.4,Men
Age,25-29,Heard of PrEP,61,Men
Age,25-29,Approve of people taking PrEP,63.2,Men
Age,30-39,Heard of ARVs that treat HIV,96.8,Men
Age,30-39,Know risk of MTCT reduced by mother's special drugs,81.1,Men
Age,30-39,Heard of PrEP,58.9,Men
Age,30-39,Approve of people taking PrEP,65,Men
Age,40-49,Heard of ARVs that treat HIV,96.4,Men
Age,40-49,Know risk of MTCT reduced by mother's special drugs,81.5,Men
Age,40-49,Heard of PrEP,53.4,Men
Age,40-49,Approve of people taking PrEP,61.3,Men
Age,50-54,Heard of ARVs that treat HIV,96.3,Men
Age,50-54,Know risk of MTCT reduced by mother's special drugs,82.4,Men
Age,50-54,Heard of PrEP,49.5,Men
Age,50-54,Approve of people taking PrEP,65.8,Men
Marital status,Never married,Heard of ARVs that treat HIV,88.1,Women
Marital status,Never married,Know risk of MTCT reduced by mother's special drugs,66.9,Women
Marital status,Never married,Heard of PrEP,44,Women
Marital status,Never married,Approve of people taking PrEP,67.1,Women
Marital status,Ever had sex,Heard of ARVs that treat HIV,93.7,Women
Marital status,Ever had sex,Know risk of MTCT reduced by mother's special drugs,74.3,Women
Marital status,Ever had sex,Heard of PrEP,55.5,Women
Marital status,Ever had sex,Approve of people taking PrEP,67.7,Women
Marital status,Never had sex,Heard of ARVs that treat HIV,82.1,Women
